GEOID,STUSPS,NAME,order
54,WV,West Virginia,1
12,FL,Florida,2
17,IL,Illinois,3
27,MN,Minnesota,4
24,MD,Maryland,5
44,RI,Rhode Island,6
16,ID,Idaho,7
33,NH,New Hampshire,8
37,NC,North Carolina,9
50,VT,Vermont,10
09,CT,Connecticut,11
10,DE,Delaware,12
35,NM,New Mexico,13
06,CA,California,14
34,NJ,New Jersey,15
55,WI,Wisconsin,16
41,OR,Oregon,17
31,NE,Nebraska,18
42,PA,Pennsylvania,19
53,WA,Washington,20
22,LA,Louisiana,21
13,GA,Georgia,22
01,AL,Alabama,23
49,UT,Utah,24
39,OH,Ohio,25
48,TX,Texas,26
08,CO,Colorado,27
45,SC,South Carolina,28
40,OK,Oklahoma,29
47,TN,Tennessee,30
56,WY,Wyoming,31
15,HI,Hawaii,32
38,ND,North Dakota,33
21,KY,Kentucky,34
23,ME,Maine,35
36,NY,New York,36
32,NV,Nevada,37
02,AK,Alaska,38
26,MI,Michigan,39
05,AR,Arkansas,40
28,MS,Mississippi,41
29,MO,Missouri,42
30,MT,Montana,43
20,KS,Kansas,44
18,IN,Indiana,45
72,PR,Puerto Rico,46
46,SD,South Dakota,47
25,MA,Massachusetts,48
51,VA,Virginia,49
11,DC,District of Columbia,50
19,IA,Iowa,51
04,AZ,Arizona,52
